n,L,K,p.value,epsilon,seed
200,25,100,0.009900990099009901,0.35000000000000003,28
200,25,100,0.009900990099009901,0.4,28
200,25,100,0.009900990099009901,0.45,28
200,25,100,0.5148514851485149,0,29
200,25,100,0.5841584158415841,0.05,29
200,25,100,0.27722772277227725,0.09999999999999999,29
200,25,100,0.10891089108910891,0.15000000000000002,29
200,25,100,0.10891089108910891,0.2,29
200,25,100,0.10891089108910891,0.25,29
200,25,100,0.10891089108910891,0.3,29
200,25,100,0.04950495049504951,0.35000000000000003,29
200,25,100,0.009900990099009901,0.4,29
200,25,100,0.009900990099009901,0.45,29
200,25,100,0.8217821782178217,0,30
200,25,100,0.5346534653465347,0.05,30
200,25,100,0.37623762376237624,0.09999999999999999,30
200,25,100,0.37623762376237624,0.15000000000000002,30
200,25,100,0.1188118811881188,0.2,30
200,25,100,0.1188118811881188,0.25,30
200,25,100,0.039603960396039604,0.3,30
200,25,100,0.009900990099009901,0.35000000000000003,30
200,25,100,0.009900990099009901,0.4,30
200,25,100,0.009900990099009901,0.45,30
200,25,100,0.7227722772277227,0,31
200,25,100,0.8811881188118812,0.05,31
200,25,100,0.7821782178217822,0.09999999999999999,31
200,25,100,0.5445544554455446,0.15000000000000002,31
200,25,100,0.1485148514851485,0.2,31
200,25,100,0.1485148514851485,0.25,31
200,25,100,0.0297029702970297,0.3,31
200,25,100,0.009900990099009901,0.35000000000000003,31
200,25,100,0.009900990099009901,0.4,31
200,25,100,0.009900990099009901,0.45,31
200,25,100,0.25742574257425743,0,32
200,25,100,0.019801980198019802,0.05,32
200,25,100,0.019801980198019802,0.09999999999999999,32
200,25,100,0.019801980198019802,0.15000000000000002,32
200,25,100,0.019801980198019802,0.2,32
200,25,100,0.009900990099009901,0.25,32
200,25,100,0.009900990099009901,0.3,32
200,25,100,0.009900990099009901,0.35000000000000003,32
200,25,100,0.009900990099009901,0.4,32
200,25,100,0.009900990099009901,0.45,32
200,25,100,0.31683168316831684,0,33
200,25,100,0.8217821782178217,0.05,33
200,25,100,0.8217821782178217,0.09999999999999999,33
200,25,100,0.6831683168316832,0.15000000000000002,33
200,25,100,0.5544554455445545,0.2,33
200,25,100,0.18811881188118812,0.25,33
200,25,100,0.039603960396039604,0.3,33
200,25,100,0.0297029702970297,0.35000000000000003,33
200,25,100,0.009900990099009901,0.4,33
200,25,100,0.009900990099009901,0.45,33
200,25,100,0.2079207920792079,0,34
200,25,100,0.38613861386138615,0.05,34
200,25,100,0.38613861386138615,0.09999999999999999,34
200,25,100,0.24752475247524752,0.15000000000000002,34
200,25,100,0.24752475247524752,0.2,34
200,25,100,0.04950495049504951,0.25,34
200,25,100,0.04950495049504951,0.3,34
200,25,100,0.009900990099009901,0.35000000000000003,34
200,25,100,0.009900990099009901,0.4,34
200,25,100,0.009900990099009901,0.45,34
200,25,100,0.15841584158415842,0,35
200,25,100,0.1782178217821782,0.05,35
200,25,100,0.1782178217821782,0.09999999999999999,35
200,25,100,0.09900990099009901,0.15000000000000002,35
200,25,100,0.0297029702970297,0.2,35
200,25,100,0.019801980198019802,0.25,35
200,25,100,0.019801980198019802,0.3,35
200,25,100,0.009900990099009901,0.35000000000000003,35
200,25,100,0.009900990099009901,0.4,35
200,25,100,0.009900990099009901,0.45,35
200,25,100,0.9207920792079208,0,36
200,25,100,0.0891089108910891,0.05,36
200,25,100,0.0891089108910891,0.09999999999999999,36
200,25,100,0.0891089108910891,0.15000000000000002,36
200,25,100,0.039603960396039604,0.2,36
200,25,100,0.009900990099009901,0.25,36
200,25,100,0.009900990099009901,0.3,36
200,25,100,0.009900990099009901,0.35000000000000003,36
200,25,100,0.009900990099009901,0.4,36
200,25,100,0.009900990099009901,0.45,36
200,25,100,0.1485148514851485,0,37
200,25,100,0.0297029702970297,0.05,37
200,25,100,0.0297029702970297,0.09999999999999999,37
200,25,100,0.019801980198019802,0.15000000000000002,37
200,25,100,0.019801980198019802,0.2,37
200,25,100,0.019801980198019802,0.25,37
200,25,100,0.009900990099009901,0.3,37
200,25,100,0.009900990099009901,0.35000000000000003,37
200,25,100,0.009900990099009901,0.4,37
200,25,100,0.009900990099009901,0.45,37
200,25,100,0.46534653465346537,0,38
200,25,100,0.18811881188118812,0.05,38
200,25,100,0.0594059405940594,0.09999999999999999,38
200,25,100,0.019801980198019802,0.15000000000000002,38
200,25,100,0.019801980198019802,0.2,38
200,25,100,0.009900990099009901,0.25,38
200,25,100,0.009900990099009901,0.3,38
200,25,100,0.009900990099009901,0.35000000000000003,38
200,25,100,0.009900990099009901,0.4,38
200,25,100,0.009900990099009901,0.45,38
200,25,100,0.6633663366336634,0,39
200,25,100,0.7623762376237624,0.05,39
200,25,100,0.42574257425742573,0.09999999999999999,39
200,25,100,0.04950495049504951,0.15000000000000002,39
200,25,100,0.009900990099009901,0.2,39
200,25,100,0.009900990099009901,0.25,39
200,25,100,0.009900990099009901,0.3,39
200,25,100,0.009900990099009901,0.35000000000000003,39
200,25,100,0.009900990099009901,0.4,39
200,25,100,0.009900990099009901,0.45,39
200,25,100,0.9900990099009901,0,40
200,25,100,0.16831683168316833,0.05,40
200,25,100,0.16831683168316833,0.09999999999999999,40
200,25,100,0.039603960396039604,0.15000000000000002,40
200,25,100,0.0297029702970297,0.2,40
200,25,100,0.0297029702970297,0.25,40
200,25,100,0.009900990099009901,0.3,40
200,25,100,0.009900990099009901,0.35000000000000003,40
200,25,100,0.009900990099009901,0.4,40
200,25,100,0.009900990099009901,0.45,40
200,25,100,0.8514851485148515,0,41
200,25,100,0.4158415841584158,0.05,41
200,25,100,0.12871287128712872,0.09999999999999999,41
200,25,100,0.039603960396039604,0.15000000000000002,41
200,25,100,0.039603960396039604,0.2,41
200,25,100,0.009900990099009901,0.25,41
200,25,100,0.009900990099009901,0.3,41
200,25,100,0.009900990099009901,0.35000000000000003,41
200,25,100,0.009900990099009901,0.4,41
200,25,100,0.009900990099009901,0.45,41
200,25,100,0.9603960396039604,0,42
200,25,100,0.3069306930693069,0.05,42
200,25,100,0.07920792079207921,0.09999999999999999,42
200,25,100,0.019801980198019802,0.15000000000000002,42
200,25,100,0.009900990099009901,0.2,42
200,25,100,0.009900990099009901,0.25,42
200,25,100,0.009900990099009901,0.3,42
200,25,100,0.009900990099009901,0.35000000000000003,42
200,25,100,0.009900990099009901,0.4,42
200,25,100,0.009900990099009901,0.45,42
200,25,100,0.26732673267326734,0,43
200,25,100,0.09900990099009901,0.05,43
200,25,100,0.04950495049504951,0.09999999999999999,43
200,25,100,0.009900990099009901,0.15000000000000002,43
200,25,100,0.009900990099009901,0.2,43
200,25,100,0.009900990099009901,0.25,43
200,25,100,0.009900990099009901,0.3,43
200,25,100,0.009900990099009901,0.35000000000000003,43
200,25,100,0.009900990099009901,0.4,43
200,25,100,0.009900990099009901,0.45,43
200,25,100,0.297029702970297,0,44
200,25,100,0.009900990099009901,0.05,44
200,25,100,0.009900990099009901,0.09999999999999999,44
200,25,100,0.009900990099009901,0.15000000000000002,44
200,25,100,0.009900990099009901,0.2,44
200,25,100,0.009900990099009901,0.25,44
200,25,100,0.009900990099009901,0.3,44
200,25,100,0.009900990099009901,0.35000000000000003,44
200,25,100,0.009900990099009901,0.4,44
200,25,100,0.009900990099009901,0.45,44
200,25,100,0.900990099009901,0,45
200,25,100,0.7227722772277227,0.05,45
200,25,100,0.297029702970297,0.09999999999999999,45
200,25,100,0.16831683168316833,0.15000000000000002,45
200,25,100,0.16831683168316833,0.2,45
200,25,100,0.09900990099009901,0.25,45
200,25,100,0.0297029702970297,0.3,45
200,25,100,0.019801980198019802,0.35000000000000003,45
200,25,100,0.009900990099009901,0.4,45
200,25,100,0.009900990099009901,0.45,45
200,25,100,0.5544554455445545,0,46
200,25,100,0.6039603960396039,0.05,46
200,25,100,0.6039603960396039,0.09999999999999999,46
200,25,100,0.27722772277227725,0.15000000000000002,46
200,25,100,0.06930693069306931,0.2,46
200,25,100,0.009900990099009901,0.25,46
200,25,100,0.009900990099009901,0.3,46
200,25,100,0.009900990099009901,0.35000000000000003,46
200,25,100,0.009900990099009901,0.4,46
200,25,100,0.009900990099009901,0.45,46
200,25,100,0.46534653465346537,0,47
200,25,100,0.0891089108910891,0.05,47
200,25,100,0.009900990099009901,0.09999999999999999,47
200,25,100,0.009900990099009901,0.15000000000000002,47
200,25,100,0.009900990099009901,0.2,47
200,25,100,0.009900990099009901,0.25,47
200,25,100,0.009900990099009901,0.3,47
200,25,100,0.009900990099009901,0.35000000000000003,47
200,25,100,0.009900990099009901,0.4,47
200,25,100,0.009900990099009901,0.45,47
200,25,100,0.19801980198019803,0,48
200,25,100,0.5544554455445545,0.05,48
200,25,100,0.15841584158415842,0.09999999999999999,48
200,25,100,0.07920792079207921,0.15000000000000002,48
200,25,100,0.039603960396039604,0.2,48
200,25,100,0.039603960396039604,0.25,48
200,25,100,0.0297029702970297,0.3,48
200,25,100,0.009900990099009901,0.35000000000000003,48
200,25,100,0.009900990099009901,0.4,48
200,25,100,0.009900990099009901,0.45,48
